Method,FS5,FS10,FS20,FS40
Baseline,80.46,79.44,84.44,86.2
CSR,79.81,82.13,85.28,87.04
ER,80.19,82.59,85.0,87.69
Dropout,78.43,79.72,84.35,87.31
DropMessage,78.89,78.89,81.48,80.19
DropNode,79.07,81.76,82.31,81.76
DropEdge,79.72,82.04,83.43,83.98
DropAttributes,79.35,78.52,80.46,82.22
Augmentation,82.31,80.74,83.7,80.56
Rewiring,81.57,82.87,85.37,86.94
Graph_CL,80.37,82.59,83.24,86.57
ProtoNet,83.7,84.63,88.52,87.04
Siamese_PW,82.13,83.61,85.83,86.11
Siamese_PW_A,82.04,82.59,85.56,84.63
Siamese_TPL,81.85,82.59,85.19,87.41
Siamese_TPL_A,82.22,83.8,86.85,87.13
