Method,FS5,FS10,FS20,FS40
Baseline,80.52,78.61,84.4,86.57
CSR,79.33,82.08,85.54,87.21
ER,79.19,81.77,85.17,87.89
Dropout,78.02,80.04,84.35,87.58
DropMessage,75.05,75.93,80.08,78.79
DropNode,77.99,80.48,81.79,82.0
DropEdge,76.62,80.6,82.5,82.92
DropAttributes,75.88,78.5,79.31,82.14
Augmentation,82.46,81.38,83.74,80.58
Rewiring,80.19,82.05,85.55,87.2
Graph_CL,80.66,82.77,83.49,86.89
ProtoNet,84.28,85.56,88.71,87.54
Siamese_PW,81.05,83.66,86.04,86.49
Siamese_PW_A,80.67,82.76,85.83,85.0
Siamese_TPL,81.58,82.75,85.54,87.59
Siamese_TPL_A,81.62,84.38,87.15,87.36
