Method,FS5,FS10,FS20,FS40
Baseline,1.46,1.54,0.81,0.77
CSR,2.51,1.85,1.4,0.59
ER,2.35,1.23,0.91,0.72
Dropout,2.11,2.32,1.05,0.83
DropMessage,1.93,1.59,2.19,1.45
DropNode,1.61,0.72,1.27,0.59
DropEdge,2.09,1.86,1.52,1.25
DropAttributes,1.38,1.54,2.57,1.48
Augmentation,1.68,1.54,1.45,2.03
Rewiring,0.97,1.56,1.42,0.97
Graph_CL,2.14,1.48,1.4,1.45
ProtoNet,0.61,0.74,0.74,1.76
Siamese_PW,0.93,2.19,1.44,1.6
Siamese_PW_A,1.99,1.23,1.45,1.45
Siamese_TPL,1.26,1.7,1.43,1.03
Siamese_TPL_A,1.08,0.75,0.81,0.65
