Method,FS5,FS10,FS20,FS40
Baseline,2.15,2.32,0.95,0.67
CSR,1.95,1.51,1.48,0.51
ER,3.83,2.66,0.98,0.69
Dropout,2.66,2.5,1.05,0.77
DropMessage,2.09,2.51,3.21,2.43
DropNode,2.17,1.94,1.42,1.03
DropEdge,1.19,2.7,1.92,1.84
DropAttributes,1.11,0.88,2.27,2.2
Augmentation,2.22,1.14,1.54,2.56
Rewiring,3.05,2.59,1.39,0.94
Graph_CL,1.62,1.4,1.64,1.42
ProtoNet,0.48,0.65,0.62,1.56
Siamese_PW,2.02,1.69,1.48,1.31
Siamese_PW_A,3.32,1.6,1.47,1.48
Siamese_TPL,2.24,1.98,1.48,1.01
Siamese_TPL_A,2.87,0.67,0.79,0.62
