Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,65.4,66.76,67.63,68.9,68.92,68.57
CSR,62.23,65.26,66.14,68.62,68.48,68.97
ER,65.22,66.53,67.98,68.9,68.53,67.72
Dropout,64.32,67.08,67.75,68.74,68.51,68.23
DropMessage,62.46,65.33,65.66,66.21,69.26,69.54
DropNode,65.95,68.25,67.31,68.71,68.9,68.11
DropEdge,66.0,65.84,68.69,69.24,69.36,69.56
DropAttributes,64.76,67.01,66.78,68.11,68.21,67.84
Augmentation,64.55,66.25,67.63,67.45,68.8,67.79
Rewiring,64.44,66.67,66.62,69.52,69.36,68.16
Graph_CL,64.78,66.67,66.53,69.2,68.48,68.07
ProtoNet,58.41,65.43,68.14,67.93,66.71,66.8
Siamese_PW,63.29,64.51,66.05,64.74,66.02,64.39
Siamese_PW_A,63.7,62.97,64.21,66.44,66.28,66.87
Siamese_TPL,64.94,66.99,67.36,68.53,68.18,67.45
Siamese_TPL_A,64.78,66.69,67.77,67.68,67.86,68.05
