Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,64.01,65.96,66.61,67.6,67.18,67.16
CSR,57.01,63.98,64.47,67.33,67.2,67.5
ER,63.65,65.79,66.82,67.75,67.24,66.91
Dropout,62.75,66.8,66.73,67.63,67.3,67.13
DropMessage,55.24,63.94,64.26,64.36,67.77,68.18
DropNode,64.36,67.86,66.53,67.35,68.43,67.01
DropEdge,63.78,64.55,67.68,67.61,68.66,68.72
DropAttributes,61.07,66.54,65.97,67.25,67.06,66.56
Augmentation,62.93,65.75,66.1,65.8,67.26,65.76
Rewiring,63.25,65.83,66.05,68.52,68.04,66.89
Graph_CL,62.56,66.46,65.67,68.32,67.38,66.91
ProtoNet,58.57,65.21,67.63,67.78,66.68,66.75
Siamese_PW,62.1,63.65,65.42,63.78,64.58,63.87
Siamese_PW_A,62.68,61.62,63.28,65.18,65.53,65.78
Siamese_TPL,62.68,66.56,66.58,67.67,67.12,66.39
Siamese_TPL_A,63.03,65.78,66.32,66.49,66.4,66.89
