Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,1.23,0.8,0.53,0.95,0.61,0.77
CSR,1.3,0.29,0.62,0.36,0.63,0.4
ER,2.03,1.88,0.46,0.68,0.74,1.18
Dropout,1.91,1.3,0.93,0.4,0.86,0.37
DropMessage,2.44,0.49,0.72,1.42,0.74,0.38
DropNode,1.48,0.36,0.59,0.64,0.86,0.66
DropEdge,1.89,1.28,0.3,0.51,0.59,0.58
DropAttributes,0.98,1.36,0.75,0.71,1.03,0.39
Augmentation,1.64,0.81,0.58,0.46,0.57,1.14
Rewiring,1.79,1.02,0.66,0.57,0.36,0.39
Graph_CL,1.87,1.21,1.98,0.4,0.78,1.3
ProtoNet,1.86,0.56,0.46,0.53,0.99,1.13
Siamese_PW,1.75,2.25,2.11,3.12,0.89,1.75
Siamese_PW_A,1.81,3.38,1.89,1.39,0.71,1.6
Siamese_TPL,1.24,1.23,0.38,0.33,0.49,0.42
Siamese_TPL_A,1.41,1.51,0.12,1.29,0.67,1.21
