Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,0.84,1.1,0.41,1.3,0.53,1.16
CSR,0.74,0.39,0.85,0.41,0.79,0.39
ER,1.43,1.86,0.96,1.61,0.59,1.14
Dropout,1.96,1.24,0.61,1.03,1.11,0.39
DropMessage,5.37,0.42,0.71,1.45,0.38,0.26
DropNode,2.76,0.69,0.81,0.66,0.91,0.53
DropEdge,3.63,1.66,0.46,0.55,0.64,0.83
DropAttributes,3.35,1.61,1.1,0.96,1.26,0.58
Augmentation,2.03,0.83,1.36,1.56,1.02,1.28
Rewiring,1.21,1.23,0.63,0.89,0.63,0.65
Graph_CL,1.21,1.01,1.7,0.35,1.39,1.65
ProtoNet,1.76,0.56,0.72,0.43,0.93,1.2
Siamese_PW,1.06,2.74,1.92,2.76,0.78,1.74
Siamese_PW_A,2.76,2.95,2.21,1.94,0.58,1.7
Siamese_TPL,2.1,1.14,0.59,0.36,0.36,0.45
Siamese_TPL_A,1.1,1.74,0.88,1.89,0.92,1.48
