Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,65.49,69.78,72.46,77.95,76.04,75.93
CSR,72.75,77.77,78.66,78.01,76.91,77.61
ER,63.59,69.44,75.11,78.48,78.9,75.35
DropMessage,57.62,58.0,70.76,66.61,67.69,49.54
DropNode,67.5,68.74,74.64,76.86,75.74,76.34
DropEdge,67.04,72.95,76.73,78.97,79.87,77.64
DropAttributes,63.88,69.22,75.78,79.08,78.76,78.94
Augmentation,53.44,62.91,51.32,35.64,38.38,34.95
Rewiring,62.53,67.26,69.77,72.07,71.41,71.06
GraphCL,56.95,67.32,72.43,74.52,76.62,72.17
ProtoNet,43.52,49.01,48.51,45.27,52.86,55.3
Siamese_PW,64.48,71.58,75.11,79.35,75.32,75.64
Siamese_PW_A,65.74,68.14,75.02,78.32,74.46,76.68
Siamese_TPL,68.79,72.47,74.29,79.27,79.43,79.82
Siamese_TPL_A,66.32,70.12,73.44,76.77,76.08,75.14
