Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,67.41,71.15,73.57,78.98,77.11,76.74
CSR,72.92,77.95,78.97,77.98,77.51,78.0
ER,65.55,70.38,76.12,79.35,79.77,76.25
DropMessage,59.77,57.96,70.31,67.18,68.76,51.26
DropNode,68.93,69.63,75.57,77.55,76.55,77.18
DropEdge,68.2,74.01,77.83,79.78,80.71,78.28
DropAttributes,65.86,70.33,76.8,79.89,79.54,79.72
Augmentation,52.81,63.77,51.97,34.03,36.91,32.17
Rewiring,64.74,68.61,71.0,72.92,72.33,71.82
GraphCL,56.33,68.39,73.54,75.48,77.35,72.88
ProtoNet,45.12,50.08,49.67,48.14,54.61,56.97
Siamese_PW,66.3,72.07,76.1,80.17,75.97,76.35
Siamese_PW_A,67.2,68.46,75.85,79.19,75.34,77.57
Siamese_TPL,70.06,73.49,75.31,80.22,80.2,80.51
Siamese_TPL_A,67.69,71.02,74.34,77.71,76.95,76.15
