Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,0.98,0.91,4.05,2.32,3.29,3.41
CSR,1.9,1.58,1.61,2.05,2.1,2.07
ER,1.21,1.82,2.69,2.9,1.09,5.67
DropMessage,14.57,15.84,10.24,21.2,14.15,23.15
DropNode,2.1,2.62,2.89,3.95,4.66,3.6
DropEdge,1.5,1.8,1.02,1.37,0.76,5.15
DropAttributes,1.45,2.67,0.91,1.13,3.15,2.57
Augmentation,12.05,1.24,16.56,1.58,9.73,4.54
Rewiring,2.1,1.9,3.41,3.18,4.54,4.05
GraphCL,10.94,2.8,5.9,3.46,4.11,4.57
ProtoNet,9.41,10.95,7.77,7.26,7.46,8.78
Siamese_PW,1.59,0.82,0.87,0.87,6.61,13.04
Siamese_PW_A,2.2,3.8,0.35,0.78,4.71,3.19
Siamese_TPL,1.66,2.41,4.06,1.7,0.88,1.06
Siamese_TPL_A,2.6,1.91,4.38,3.42,2.57,3.55
