Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,0.84,0.83,3.9,2.16,3.26,3.43
CSR,1.56,1.29,1.27,2.28,1.76,1.77
ER,1.1,1.66,2.6,2.96,1.01,5.75
DropMessage,15.08,19.11,15.59,21.94,13.8,22.67
DropNode,2.11,2.67,2.83,4.05,4.63,3.53
DropEdge,1.4,1.63,1.08,1.4,0.7,5.43
DropAttributes,1.37,2.42,0.9,1.17,3.16,2.51
Augmentation,11.7,1.06,16.9,1.19,10.2,4.4
Rewiring,2.26,1.62,3.33,3.24,4.45,4.01
GraphCL,15.61,2.83,5.75,3.4,4.12,4.68
ProtoNet,10.16,11.74,8.75,6.95,7.18,8.48
Siamese_PW,1.36,0.87,0.79,0.86,6.52,13.4
Siamese_PW_A,2.23,4.25,0.4,0.8,4.63,3.09
Siamese_TPL,1.46,2.31,3.94,1.6,0.83,0.99
Siamese_TPL_A,3.14,1.96,4.18,3.14,2.47,3.35
