Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,85.17,88.53,88.59,89.06,89.41,89.36
CSR,86.99,89.26,89.94,90.4,90.62,91.35
ER,86.38,88.62,89.07,89.79,90.06,90.51
DropMessage,86.08,89.17,89.66,89.83,89.77,89.55
DropNode,86.88,88.65,88.89,89.51,89.64,90.16
DropEdge,86.88,88.83,89.46,89.76,90.54,90.72
DropAttributes,86.92,89.1,89.71,89.41,90.54,90.22
Augmentation,86.38,88.25,87.9,89.62,89.9,89.52
Rewiring,87.46,88.97,89.19,89.85,89.76,90.0
GraphCL,86.12,89.01,88.89,88.92,89.14,90.42
ProtoNet,75.98,80.46,81.3,81.13,84.26,83.73
Siamese_PW,86.72,89.86,90.02,90.47,90.35,90.75
Siamese_PW_A,87.49,90.35,90.1,89.54,90.15,90.73
Siamese_TPL,86.26,89.11,89.04,89.53,89.93,90.52
Siamese_TPL_A,87.34,89.33,89.25,89.86,90.03,90.31
