Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,85.67,88.67,88.8,89.23,89.53,89.49
CSR,87.02,89.19,89.82,90.44,90.59,91.35
ER,86.62,88.73,89.21,89.91,90.12,90.55
DropMessage,86.39,89.25,89.74,89.92,89.86,89.61
DropNode,87.12,88.76,89.0,89.6,89.71,90.22
DropEdge,87.11,88.9,89.54,89.87,90.6,90.77
DropAttributes,87.04,89.21,89.81,89.56,90.61,90.3
Augmentation,86.5,88.28,87.86,89.66,89.91,89.57
Rewiring,87.56,89.05,89.31,89.94,89.86,90.06
GraphCL,86.42,89.12,88.99,89.07,89.23,90.49
ProtoNet,76.84,80.98,81.76,81.52,84.69,84.19
Siamese_PW,86.97,89.94,90.06,90.49,90.38,90.81
Siamese_PW_A,87.67,90.41,90.12,89.56,90.17,90.74
Siamese_TPL,86.43,89.21,89.13,89.66,90.01,90.6
Siamese_TPL_A,87.48,89.38,89.36,89.98,90.11,90.41
