Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,1.2,1.14,1.05,1.0,0.56,0.68
CSR,0.71,0.57,0.81,0.46,1.05,0.39
ER,1.13,0.95,0.9,0.62,0.82,0.84
DropMessage,0.99,0.79,0.54,0.71,0.98,1.07
DropNode,0.82,0.67,1.29,0.84,0.68,0.43
DropEdge,0.91,0.86,0.67,0.75,0.67,0.56
DropAttributes,0.51,0.69,0.75,1.09,0.37,0.94
Augmentation,1.07,0.94,1.5,0.84,0.89,0.97
Rewiring,0.84,0.45,1.11,0.56,0.59,1.05
GraphCL,1.03,0.5,0.99,0.75,1.07,0.52
ProtoNet,5.39,1.97,2.5,3.82,4.23,3.95
Siamese_PW,0.93,0.47,0.55,0.59,0.52,0.65
Siamese_PW_A,0.61,0.22,0.5,0.47,0.85,0.44
Siamese_TPL,0.77,0.46,0.42,0.96,0.6,0.53
Siamese_TPL_A,0.61,0.29,0.67,0.65,0.56,0.61
