Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,1.03,1.1,1.0,1.02,0.54,0.67
CSR,0.67,0.58,0.89,0.47,1.12,0.41
ER,1.08,0.95,0.87,0.63,0.8,0.85
DropMessage,0.89,0.79,0.54,0.7,0.92,1.08
DropNode,0.72,0.65,1.27,0.82,0.67,0.42
DropEdge,0.87,0.85,0.68,0.71,0.67,0.54
DropAttributes,0.52,0.67,0.72,1.04,0.37,0.91
Augmentation,1.1,0.99,1.54,0.88,0.89,0.95
Rewiring,0.75,0.42,1.05,0.54,0.55,1.02
GraphCL,0.96,0.51,1.04,0.73,1.01,0.5
ProtoNet,5.32,1.84,2.44,3.75,4.02,3.74
Siamese_PW,0.95,0.47,0.61,0.62,0.51,0.67
Siamese_PW_A,0.61,0.21,0.52,0.51,0.9,0.47
Siamese_TPL,0.75,0.45,0.41,0.91,0.58,0.53
Siamese_TPL_A,0.58,0.31,0.62,0.6,0.58,0.61
