Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,53.28,65.13,67.41,69.02,70.11,73.47
CSR,53.75,62.85,68.93,70.42,71.85,73.93
ER,54.12,64.5,67.25,68.1,70.39,73.03
DropMessage,53.73,64.89,68.66,69.63,71.41,72.28
DropNode,53.48,65.94,68.4,68.15,71.7,73.27
DropEdge,54.93,66.0,69.04,70.04,71.16,72.87
DropAttributes,56.05,65.94,67.94,68.52,72.15,73.41
Augmentation,58.66,64.8,67.82,69.31,70.86,73.34
Rewiring,70.4,69.34,70.0,71.01,72.1,73.29
GraphCL,54.36,65.37,67.18,67.95,70.33,71.94
ProtoNet,52.12,55.53,59.58,61.61,64.38,66.45
Siamese_PW,52.57,65.58,68.87,69.21,71.59,74.04
Siamese_PW_A,66.78,67.46,70.2,70.62,72.09,73.71
Siamese_TPL,55.51,64.57,65.58,66.35,70.07,71.84
Siamese_TPL_A,69.7,68.24,68.64,69.32,70.71,72.94
