Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,47.54,65.68,68.13,68.9,69.93,72.74
CSR,49.31,63.13,68.74,70.05,71.42,73.76
ER,49.05,65.24,67.69,68.2,70.26,72.45
DropMessage,48.7,65.39,68.94,69.28,71.11,71.71
DropNode,47.55,66.06,68.81,68.08,70.91,73.15
DropEdge,49.71,65.96,69.17,69.6,70.87,72.81
DropAttributes,53.07,66.13,68.53,68.74,71.85,73.24
Augmentation,57.45,64.88,67.89,69.14,70.41,73.04
Rewiring,69.73,69.56,70.14,70.65,71.91,73.23
GraphCL,48.32,65.77,67.71,68.25,70.48,71.84
ProtoNet,52.03,55.88,59.93,61.95,64.36,66.63
Siamese_PW,46.76,65.54,69.04,69.13,71.54,73.64
Siamese_PW_A,66.38,67.56,70.34,70.5,71.96,73.66
Siamese_TPL,51.27,64.86,66.44,66.46,70.12,71.44
Siamese_TPL_A,69.06,68.36,69.1,69.5,70.63,72.74
