Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,1.52,0.94,1.18,2.38,1.82,1.14
CSR,2.94,1.57,0.92,0.91,1.14,0.5
ER,0.72,1.39,0.96,1.85,1.54,1.17
DropMessage,1.85,1.22,0.7,2.38,1.37,1.53
DropNode,1.49,1.59,1.81,1.89,1.21,0.91
DropEdge,1.6,0.95,0.88,1.86,1.7,0.99
DropAttributes,2.26,1.39,1.19,1.5,1.3,0.87
Augmentation,1.96,2.42,1.35,1.68,0.99,0.82
Rewiring,1.13,1.26,0.82,1.47,0.87,0.69
GraphCL,0.87,1.28,1.45,1.56,1.75,1.45
ProtoNet,3.2,4.77,2.63,4.0,2.06,2.19
Siamese_PW,1.66,1.31,0.85,1.97,1.71,0.73
Siamese_PW_A,4.31,0.87,0.74,1.28,2.1,0.5
Siamese_TPL,1.94,1.22,1.6,3.29,2.0,1.24
Siamese_TPL_A,1.34,1.27,1.65,1.4,1.35,1.23
