Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,2.08,0.92,0.94,1.62,1.49,0.98
CSR,4.54,1.38,1.02,0.8,0.99,0.57
ER,1.88,1.08,1.01,1.57,1.36,1.28
DropMessage,3.49,1.15,0.91,2.02,1.31,1.6
DropNode,3.23,1.51,1.59,1.54,1.72,0.63
DropEdge,2.85,0.65,0.81,1.69,1.76,0.57
DropAttributes,3.4,1.06,1.15,1.42,1.18,0.75
Augmentation,1.94,2.28,1.35,1.32,0.92,0.74
Rewiring,1.36,1.03,0.75,1.23,0.78,0.85
GraphCL,1.77,1.1,1.25,1.2,1.6,1.16
ProtoNet,3.21,5.04,2.91,4.21,2.09,2.28
Siamese_PW,1.8,1.15,0.62,1.79,1.48,0.59
Siamese_PW_A,4.24,0.91,0.69,1.14,1.77,0.85
Siamese_TPL,2.76,1.13,1.75,2.59,1.94,1.13
Siamese_TPL_A,1.22,1.26,1.46,1.05,1.15,0.89
