Method,FS5,FS10
Baseline,74.2,76.55
CSR,73.4,73.75
ER,74.7,74.65
DropMessage,75.75,77.15
DropNode,75.75,74.75
DropEdge,74.5,76.6
DropAttributes,74.8,73.25
Augmentation,73.5,75.2
Rewiring,79.0,78.65
GraphCL,74.5,74.65
ProtoNet,55.5,58.5
Siamese_PW,74.2,75.8
Siamese_PW_A,77.0,77.6
Siamese_TPL,74.75,73.45
Siamese_TPL_A,79.65,77.9
Baseline,76.6,73.0
CSR,73.4,73.55
ER,74.95,73.65
DropMessage,74.5,75.6
DropNode,76.1,76.15
DropEdge,75.6,74.3
DropAttributes,75.55,75.15
Augmentation,73.8,75.6
Rewiring,79.75,77.05
GraphCL,74.75,73.35
ProtoNet,55.25,61.3
Siamese_PW,75.55,75.35
Siamese_PW_A,75.85,76.85
Siamese_TPL,74.25,74.8
Siamese_TPL_A,77.9,79.15
Baseline,75.55,74.4
CSR,72.35,73.15
ER,73.8,74.05
DropMessage,76.35,75.25
DropNode,75.25,76.55
DropEdge,74.5,75.6
DropAttributes,76.15,74.25
Augmentation,75.05,75.05
Rewiring,79.5,77.0
GraphCL,73.4,70.55
ProtoNet,59.45,66.35
Siamese_PW,75.6,75.85
Siamese_PW_A,77.55,78.35
Siamese_TPL,75.1,74.6
Siamese_TPL_A,79.8,77.1
Baseline,74.7,75.4
CSR,72.25,73.65
ER,75.3,73.45
Baseline,74.5,74.9
CSR,74.25,74.15
ER,72.5,74.75
DropMessage,74.25,77.0
Baseline,75.45,75.85
CSR,73.9,73.75
ER,72.7,75.15
DropMessage,75.95,76.65
Baseline,74.5,75.25
CSR,73.55,73.6
ER,73.85,74.35
DropMessage,74.15,75.75
Baseline,73.25,75.95
CSR,73.8,73.6
ER,74.6,74.1
DropMessage,76.55,76.3
Baseline,73.95,75.0
CSR,73.0,73.95
ER,74.7,74.35
DropMessage,75.5,76.4
DropNode,76.0,77.0
DropEdge,76.3,75.15
DropAttributes,75.9,75.3
Augmentation,73.95,73.8
Rewiring,78.15,77.65
GraphCL,74.8,71.55
ProtoNet,59.15,60.6
Siamese_PW,74.0,74.25
Siamese_PW_A,76.55,78.05
Siamese_TPL,74.55,74.1
Siamese_TPL_A,78.15,77.4
