Method,FS5,FS10
Baseline,74.5,76.84
CSR,73.83,74.0
ER,74.94,74.97
DropMessage,75.9,77.31
DropNode,76.05,75.14
DropEdge,74.98,76.82
DropAttributes,74.92,73.82
Augmentation,73.45,75.4
Rewiring,79.09,78.82
GraphCL,74.69,74.87
ProtoNet,55.87,58.91
Siamese_PW,74.5,76.14
Siamese_PW_A,77.21,77.86
Siamese_TPL,74.86,73.7
Siamese_TPL_A,79.83,77.99
Baseline,76.91,73.2
CSR,73.59,73.71
ER,75.28,73.73
DropMessage,74.78,75.66
DropNode,76.29,76.28
DropEdge,75.78,74.6
DropAttributes,75.73,75.38
Augmentation,74.38,76.09
Rewiring,79.84,77.3
GraphCL,74.98,73.58
ProtoNet,55.29,61.54
Siamese_PW,75.59,75.74
Siamese_PW_A,76.16,77.07
Siamese_TPL,74.47,75.0
Siamese_TPL_A,77.95,79.29
Baseline,75.67,74.56
CSR,72.86,73.4
ER,74.24,74.07
DropMessage,76.42,75.58
DropNode,75.2,76.69
DropEdge,74.57,75.82
DropAttributes,76.43,74.49
Augmentation,75.18,75.21
Rewiring,79.62,77.26
GraphCL,73.65,71.15
ProtoNet,59.81,66.83
Siamese_PW,75.86,76.16
Siamese_PW_A,77.66,78.57
Siamese_TPL,75.16,74.83
Siamese_TPL_A,79.98,77.28
Baseline,74.91,75.7
CSR,72.65,73.92
ER,75.52,73.58
Baseline,74.77,75.25
CSR,74.51,74.38
ER,72.7,75.08
DropMessage,74.65,77.21
Baseline,75.75,76.09
CSR,74.26,73.88
ER,72.83,75.59
DropMessage,76.07,76.9
Baseline,74.55,75.46
CSR,73.89,73.94
ER,73.99,74.69
DropMessage,74.32,75.97
Baseline,73.59,76.23
CSR,74.34,73.83
ER,74.75,74.07
DropMessage,76.83,76.36
Baseline,74.27,75.26
CSR,73.42,74.26
ER,74.83,74.47
DropMessage,75.76,76.78
DropNode,76.19,77.35
DropEdge,76.49,75.59
DropAttributes,76.13,75.48
Augmentation,74.0,74.0
Rewiring,78.18,77.91
GraphCL,74.9,71.98
ProtoNet,59.95,61.1
Siamese_PW,74.53,74.57
Siamese_PW_A,76.82,78.27
Siamese_TPL,74.85,74.33
Siamese_TPL_A,78.36,77.56
