Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,1.2,0.85,0.92,0.96,0.69,0.79
CSR,1.7,0.62,0.69,1.08,0.82,0.77
ER,0.75,0.89,1.38,0.88,0.63,0.78
DropMessage,0.93,0.96,0.97,0.94,1.2,0.68
DropNode,1.42,0.98,1.61,0.98,0.68,0.84
DropEdge,1.56,0.86,1.05,0.85,0.85,0.92
DropAttributes,1.14,1.08,1.05,0.93,0.97,0.7
Augmentation,1.14,1.19,1.03,1.31,0.91,0.72
Rewiring,1.65,1.0,0.97,0.76,1.38,0.7
GraphCL,0.83,1.37,1.07,1.61,1.06,1.02
ProtoNet,3.95,4.0,3.7,2.14,1.02,1.96
Siamese_PW,0.9,0.65,0.74,1.23,0.9,1.08
Siamese_PW_A,1.31,0.79,0.87,0.93,0.7,0.8
Siamese_TPL,0.65,1.39,1.3,1.58,0.88,1.05
Siamese_TPL_A,0.66,0.87,0.87,0.74,0.92,1.08
