Method,FS5,FS10
Baseline,0.71,0.6
CSR,0.63,0.74
ER,0.24,0.48
DropMessage,0.2,0.59
DropNode,0.99,0.5
DropEdge,0.32,0.15
DropAttributes,0.47,1.01
Augmentation,1.14,1.72
Rewiring,0.66,0.18
GraphCL,0.32,0.86
ProtoNet,2.27,1.49
Siamese_PW,0.51,0.14
Siamese_PW_A,1.3,0.84
Siamese_TPL,1.0,0.85
Siamese_TPL_A,0.72,0.46
Baseline,0.46,0.86
CSR,0.27,0.01
ER,0.27,1.04
DropMessage,0.63,1.12
DropNode,0.15,0.03
DropEdge,1.18,0.85
DropAttributes,0.04,0.49
Augmentation,0.03,0.95
Rewiring,0.57,0.61
GraphCL,0.57,1.32
ProtoNet,6.27,0.37
Siamese_PW,0.03,1.16
Siamese_PW_A,1.23,0.27
Siamese_TPL,1.01,0.16
Siamese_TPL_A,1.43,0.35
Baseline,0.59,1.35
CSR,0.61,0.17
ER,1.22,0.2
DropMessage,0.52,0.29
DropNode,0.64,0.71
DropEdge,1.97,1.03
DropAttributes,0.49,0.82
Augmentation,0.88,0.57
Rewiring,0.1,1.66
GraphCL,0.85,3.52
ProtoNet,1.99,6.29
Siamese_PW,0.27,0.21
Siamese_PW_A,0.29,1.07
Siamese_TPL,0.23,0.09
Siamese_TPL_A,1.11,1.43
Baseline,0.41,1.09
CSR,0.32,0.55
ER,0.71,1.22
Baseline,0.43,1.92
CSR,0.22,0.22
ER,0.42,0.19
DropMessage,1.28,0.48
Baseline,1.23,0.06
CSR,0.5,0.09
ER,0.06,1.93
DropMessage,0.53,0.39
Baseline,0.62,1.17
CSR,0.68,0.04
ER,1.08,0.23
DropMessage,0.25,0.34
Baseline,0.98,0.01
CSR,0.85,0.33
ER,0.0,0.66
DropMessage,0.77,0.13
Baseline,1.23,0.09
CSR,0.4,1.06
ER,1.17,0.62
DropMessage,0.81,0.69
DropNode,0.82,0.5
DropEdge,0.13,0.78
DropAttributes,0.84,0.26
Augmentation,1.73,1.58
Rewiring,0.84,0.32
GraphCL,1.01,0.34
ProtoNet,0.33,0.99
Siamese_PW,0.76,0.37
Siamese_PW_A,0.45,0.44
Siamese_TPL,1.19,0.25
Siamese_TPL_A,0.68,0.14
