Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,69.77,73.07,77.06,79.57,81.32,81.45
CSR,68.42,68.89,76.59,77.77,80.26,81.29
ER,66.89,70.79,76.86,79.74,81.44,81.79
DropMessage,67.91,70.22,77.29,80.34,81.71,82.08
DropNode,68.93,71.15,77.4,80.12,81.7,81.84
DropEdge,69.52,70.31,76.58,79.9,81.4,82.41
DropAttributes,67.67,69.48,77.46,79.69,81.59,81.86
Augmentation,69.91,72.13,77.51,80.67,81.78,81.77
Rewiring,72.94,76.85,78.71,81.42,82.71,82.95
GraphCL,67.5,71.56,77.14,79.44,81.78,81.79
ProtoNet,67.52,68.71,73.08,77.05,80.59,80.37
Siamese_PW,68.36,70.77,77.96,79.68,81.26,81.68
Siamese_PW_A,70.6,72.93,78.7,80.59,81.57,81.91
Siamese_TPL,69.38,72.84,76.51,79.76,81.73,82.28
Siamese_TPL_A,73.18,76.5,78.79,80.65,82.29,82.55
