Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,69.59,72.99,77.03,79.59,81.37,81.57
CSR,68.06,68.68,76.59,77.81,80.3,81.31
ER,66.63,70.63,76.85,79.75,81.49,81.86
DropMessage,67.7,69.94,77.26,80.35,81.78,82.16
DropNode,68.65,70.87,77.39,80.17,81.74,81.92
DropEdge,69.37,69.99,76.53,79.9,81.45,82.44
DropAttributes,67.54,69.22,77.45,79.69,81.66,81.94
Augmentation,69.66,72.03,77.49,80.67,81.81,81.85
Rewiring,72.92,76.87,78.69,81.48,82.78,83.02
GraphCL,67.34,71.47,77.11,79.43,81.81,81.86
ProtoNet,67.28,68.53,73.1,76.96,80.57,80.39
Siamese_PW,68.13,70.5,77.93,79.66,81.36,81.74
Siamese_PW_A,70.57,72.76,78.67,80.61,81.63,81.97
Siamese_TPL,69.18,72.78,76.52,79.79,81.8,82.34
Siamese_TPL_A,73.18,76.51,78.8,80.7,82.35,82.6
