Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,0.95,0.66,0.38,0.76,0.44,0.54
CSR,1.33,1.16,0.42,1.03,0.58,0.82
ER,1.5,2.11,0.57,0.64,0.75,0.91
DropMessage,1.71,1.94,0.68,0.79,0.54,0.68
DropNode,0.84,1.61,0.73,0.81,0.55,0.47
DropEdge,0.78,1.38,0.52,0.53,0.59,0.56
DropAttributes,0.95,1.8,0.39,0.33,0.76,0.96
Augmentation,0.81,2.12,0.5,0.62,0.38,0.61
Rewiring,2.21,0.98,0.92,0.34,0.47,0.42
GraphCL,0.86,2.36,0.69,0.21,0.43,0.73
ProtoNet,2.21,2.15,2.78,3.74,0.78,0.81
Siamese_PW,1.06,1.39,0.72,0.71,0.54,0.68
Siamese_PW_A,1.68,1.77,0.54,0.61,0.36,0.74
Siamese_TPL,1.5,1.11,0.88,0.62,0.7,0.71
Siamese_TPL_A,1.67,0.9,0.51,0.71,0.58,0.59
