Method,FS5,FS10,FS20,FS40,FS60,FS80
Baseline,1.06,0.66,0.39,0.79,0.46,0.54
CSR,1.57,1.19,0.42,1.03,0.59,0.83
ER,1.59,2.26,0.59,0.63,0.73,0.91
DropMessage,1.83,2.07,0.69,0.81,0.53,0.68
DropNode,0.7,1.69,0.73,0.8,0.57,0.47
DropEdge,0.72,1.5,0.55,0.54,0.58,0.57
DropAttributes,0.98,1.87,0.4,0.33,0.75,0.96
Augmentation,0.7,2.19,0.5,0.6,0.39,0.61
Rewiring,2.24,1.01,0.93,0.34,0.46,0.42
GraphCL,1.03,2.47,0.69,0.21,0.42,0.73
ProtoNet,2.42,2.2,2.82,3.91,0.81,0.8
Siamese_PW,0.99,1.47,0.71,0.7,0.51,0.69
Siamese_PW_A,1.63,2.07,0.52,0.6,0.38,0.72
Siamese_TPL,1.52,1.21,0.9,0.62,0.7,0.68
Siamese_TPL_A,1.69,0.96,0.5,0.71,0.57,0.6
